FIPS,County name,State,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2018,Change 2010-2018,Change 2000-2018,Change 1990-2018
46061,Hanson County,South Dakota,"2,994","3,144","3,332","3,376",0.113151659,0.068720379,1.30%
46063,Harding County,South Dakota,"1,669","1,353","1,255","1,249",-0.336269015,-0.083266613,-0.50%
46065,Hughes County,South Dakota,"14,817","16,483","17,022","17,650",0.160509915,0.06611898,3.70%
46067,Hutchinson County,South Dakota,"8,262","8,074","7,343","7,380",-0.119512195,-0.09403794,0.50%
46069,Hyde County,South Dakota,"1,696","1,671","1,420","1,282",-0.322932917,-0.303432137,-9.70%
46071,Jackson County,South Dakota,"2,811","2,929","3,030","3,307",0.149984881,0.114302994,9.10%
46073,Jerauld County,South Dakota,"2,425","2,286","2,071","2,043",-0.186979931,-0.118942731,-1.40%
46075,Jones County,South Dakota,"1,324","1,193","1,006",928,-0.426724138,-0.285560345,-7.80%
46077,Kingsbury County,South Dakota,"5,925","5,815","5,147","4,919",-0.204513112,-0.182150844,-4.40%
46079,Lake County,South Dakota,"10,550","11,270","11,202","13,057",0.192004289,0.136861454,16.60%
46081,Lawrence County,South Dakota,"20,655","21,805","24,090","25,741",0.197583621,0.152907812,6.90%
46083,Lincoln County,South Dakota,"15,427","24,158","44,823","58,807",0.737667285,0.589198565,31.20%
46085,Lyman County,South Dakota,"3,638","3,899","3,755","3,821",0.047893222,-0.020413504,1.80%
46087,McCook County,South Dakota,"5,688","5,825","5,618","5,546",-0.025604039,-0.050306527,-1.30%
46089,McPherson County,South Dakota,"3,228","2,904","2,459","2,407",-0.341088492,-0.206481097,-2.10%
46091,Marshall County,South Dakota,"4,844","4,578","4,656","5,112",0.052425665,0.104460094,9.80%
46093,Meade County,South Dakota,"21,878","24,230","25,443","28,294",0.226761858,0.143634693,11.20%
46095,Mellette County,South Dakota,"2,137","2,083","2,043","2,042",-0.046523017,-0.020078355,0.00%
46097,Miner County,South Dakota,"3,272","2,836","2,389","2,213",-0.478535924,-0.281518301,-7.40%
46099,Minnehaha County,South Dakota,"123,809","148,321","169,474","192,876",0.358090172,0.231003339,13.80%
46101,Moody County,South Dakota,"6,507","6,586","6,493","6,579",0.010943912,-0.001063991,1.30%
46102,Oglala Lakota County,South Dakota,"9,902","12,466","13,586","14,309",0.30798798,0.128800056,5.30%
46103,Pennington County,South Dakota,"81,343","88,619","100,957","111,729",0.271961621,0.206839764,10.70%
46105,Perkins County,South Dakota,"3,932","3,368","2,983","2,922",-0.345653662,-0.152635181,-2.00%
46107,Potter County,South Dakota,"3,190","2,693","2,334","2,207",-0.445400997,-0.220208428,-5.40%
46109,Roberts County,South Dakota,"9,914","10,013","10,147","10,447",0.051019431,0.041543027,3.00%
46111,Sanborn County,South Dakota,"2,833","2,676","2,355","2,429",-0.16632359,-0.101687937,3.10%
46115,Spink County,South Dakota,"7,981","7,452","6,415","6,495",-0.228791378,-0.147344111,1.20%
46117,Stanley County,South Dakota,"2,453","2,772","2,966","3,022",0.188285903,0.082726671,1.90%
46119,Sully County,South Dakota,"1,589","1,553","1,368","1,392",-0.141522989,-0.11566092,1.80%
46121,Todd County,South Dakota,"8,352","9,050","9,610","10,283",0.187785666,0.119906642,7.00%
46123,Tripp County,South Dakota,"6,924","6,434","5,649","5,478",-0.263964951,-0.174516247,-3.00%
46125,Turner County,South Dakota,"8,576","8,847","8,347","8,424",-0.018043685,-0.050213675,0.90%
46127,Union County,South Dakota,"10,189","12,583","14,398","15,619",0.347653499,0.194378641,8.50%
46129,Walworth County,South Dakota,"6,087","5,969","5,438","5,587",-0.089493467,-0.068373009,2.70%
46135,Yankton County,South Dakota,"19,252","21,657","22,438","22,869",0.158161704,0.052997508,1.90%
46137,Ziebach County,South Dakota,"2,220","2,519","2,801","2,742",0.190371991,0.081327498,-2.10%
72001,Adjuntas Municipio,Puerto Rico,"19,451","19,129","19,483","17,302",-11.20%,-10.56%,-12.42%
72003,Aguada Municipio,Puerto Rico,"35,911","42,074","41,959","36,621",-12.70%,-14.89%,1.94%
72005,Aguadilla Municipio,Puerto Rico,"59,335","64,733","60,949","50,598",-17.00%,-27.94%,-17.27%
72007,Aguas Buenas Municipio,Puerto Rico,"25,424","28,644","28,662","24,848",-13.30%,-15.28%,-2.32%
72009,Aibonito Municipio,Puerto Rico,"24,971","26,489","25,900","22,143",-14.50%,-19.63%,-12.77%
72011,Añasco Municipio,Puerto Rico,"25,234","28,278","29,261","26,031",-11.00%,-8.63%,3.06%
72013,Arecibo Municipio,Puerto Rico,"93,385","100,136","96,440","82,114",-14.90%,-21.95%,-13.73%
72015,Arroyo Municipio,Puerto Rico,"18,910","19,115","19,575","17,169",-12.30%,-11.33%,-10.14%
72017,Barceloneta Municipio,Puerto Rico,"20,947","22,324","24,816","23,504",-5.30%,5.02%,10.88%
72019,Barranquitas Municipio,Puerto Rico,"25,605","28,992","30,318","27,476",-9.40%,-5.52%,6.81%
72021,Bayamón Municipio,Puerto Rico,"220,262","224,175","208,105","170,480",-18.10%,-31.50%,-29.20%
72023,Cabo Rojo Municipio,Puerto Rico,"38,521","46,906","50,917","47,117",-7.50%,0.45%,18.24%
72025,Caguas Municipio,Puerto Rico,"133,447","140,526","142,917","124,434",-12.90%,-12.93%,-7.24%
72027,Camuy Municipio,Puerto Rico,"28,917","35,242","35,159","30,503",-13.20%,-15.54%,5.20%
72029,Canóvanas Municipio,Puerto Rico,"36,816","43,386","47,639","44,296",-7.00%,2.05%,16.89%
72031,Carolina Municipio,Puerto Rico,"177,806","185,529","176,764","147,661",-16.50%,-25.65%,-20.42%
72033,Cataño Municipio,Puerto Rico,"34,587","30,071","28,140","23,244",-17.40%,-29.37%,-48.80%
72035,Cayey Municipio,Puerto Rico,"46,553","47,364","48,119","42,349",-12.00%,-11.84%,-9.93%
72037,Ceiba Municipio,Puerto Rico,"17,145","17,998","13,631","11,018",-19.20%,-63.35%,-55.61%
72039,Ciales Municipio,Puerto Rico,"18,084","19,734","18,782","15,918",-15.20%,-23.97%,-13.61%
72041,Cidra Municipio,Puerto Rico,"35,601","42,719","43,480","38,288",-11.90%,-11.57%,7.02%
72043,Coamo Municipio,Puerto Rico,"33,837","37,605","40,512","37,845",-6.60%,0.63%,10.59%
72045,Comerío Municipio,Puerto Rico,"20,265","20,079","20,778","18,598",-10.50%,-7.96%,-8.96%
72047,Corozal Municipio,Puerto Rico,"33,095","36,780","37,142","32,320",-13.00%,-13.80%,-2.40%
72049,Culebra Municipio,Puerto Rico,"1,542","1,868","1,818","1,710",-5.90%,-9.24%,9.82%
72051,Dorado Municipio,Puerto Rico,"30,759","34,017","38,165","35,779",-6.30%,4.92%,14.03%
72053,Fajardo Municipio,Puerto Rico,"36,882","40,712","36,993","29,699",-19.70%,-37.08%,-24.19%
72054,Florida Municipio,Puerto Rico,"8,689","12,353","12,680","11,329",-10.70%,-9.04%,23.30%
72055,Guánica Municipio,Puerto Rico,"19,984","21,896","19,427","15,551",-20.00%,-40.80%,-28.51%
72057,Guayama Municipio,Puerto Rico,"41,588","44,297","45,362","39,521",-12.90%,-12.08%,-5.23%
72059,Guayanilla Municipio,Puerto Rico,"21,581","23,076","21,581","17,719",-17.90%,-30.23%,-21.80%
72061,Guaynabo Municipio,Puerto Rico,"92,886","100,169","97,918","83,787",-14.40%,-19.55%,-10.86%
72063,Gurabo Municipio,Puerto Rico,"28,737","36,746","45,371","46,068",1.50%,20.24%,37.62%
72065,Hatillo Municipio,Puerto Rico,"32,703","38,913","41,953","38,826",-7.50%,-0.22%,15.77%
72067,Hormigueros Municipio,Puerto Rico,"15,212","16,611","17,250","15,462",-10.40%,-7.43%,1.62%
72069,Humacao Municipio,Puerto Rico,"55,203","59,135","58,466","50,532",-13.60%,-17.02%,-9.24%
72071,Isabela Municipio,Puerto Rico,"39,147","44,467","45,655","40,268",-11.80%,-10.43%,2.78%
72073,Jayuya Municipio,Puerto Rico,"15,527","17,311","16,642","13,947",-16.20%,-24.12%,-11.33%
72075,Juana Díaz Municipio,Puerto Rico,"45,198","50,539","50,747","44,510",-12.30%,-13.55%,-1.55%
72077,Juncos Municipio,Puerto Rico,"30,612","36,416","40,290","37,723",-6.40%,3.46%,18.85%
72079,Lajas Municipio,Puerto Rico,"23,271","26,283","25,753","21,991",-14.60%,-19.52%,-5.82%
72081,Lares Municipio,Puerto Rico,"29,015","34,425","30,753","24,484",-20.40%,-40.60%,-18.51%
72083,Las Marías Municipio,Puerto Rico,"9,306","11,060","9,881","7,961",-19.40%,-38.93%,-16.89%
72085,Las Piedras Municipio,Puerto Rico,"27,896","34,505","38,675","36,458",-5.70%,5.36%,23.48%
72087,Loíza Municipio,Puerto Rico,"29,307","32,537","30,060","24,686",-17.90%,-31.80%,-18.72%
72089,Luquillo Municipio,Puerto Rico,"18,100","19,817","20,068","17,594",-12.30%,-12.63%,-2.88%
72091,Manatí Municipio,Puerto Rico,"38,692","45,506","44,113","37,393",-15.20%,-21.70%,-3.47%
72093,Maricao Municipio,Puerto Rico,"6,206","6,439","6,276","5,426",-13.50%,-18.67%,-14.38%
72095,Maunabo Municipio,Puerto Rico,"12,347","12,741","12,245","10,370",-15.30%,-22.86%,-19.06%
72097,Mayagüez Municipio,Puerto Rico,"100,371","98,445","89,080","71,986",-19.20%,-36.76%,-39.43%
72099,Moca Municipio,Puerto Rico,"32,926","39,698","40,109","34,909",-13.00%,-13.72%,5.68%
72101,Morovis Municipio,Puerto Rico,"25,288","29,974","32,610","30,068",-7.80%,0.31%,15.90%
72103,Naguabo Municipio,Puerto Rico,"22,620","23,756","26,720","25,376",-5.00%,6.38%,10.86%
72105,Naranjito Municipio,Puerto Rico,"27,914","29,699","30,402","27,209",-10.50%,-9.15%,-2.59%
72107,Orocovis Municipio,Puerto Rico,"21,158","23,835","23,423","20,221",-13.70%,-17.87%,-4.63%
72109,Patillas Municipio,Puerto Rico,"19,633","20,158","19,257","16,310",-15.30%,-23.59%,-20.37%
72111,Peñuelas Municipio,Puerto Rico,"22,515","26,718","24,282","19,402",-20.10%,-37.71%,-16.04%
72113,Ponce Municipio,Puerto Rico,"187,749","186,479","166,327","133,191",-19.90%,-40.01%,-40.96%
72115,Quebradillas Municipio,Puerto Rico,"21,425","25,462","25,919","22,828",-11.90%,-11.54%,6.15%
72117,Rincón Municipio,Puerto Rico,"12,213","14,761","15,200","13,627",-10.30%,-8.32%,10.38%
72119,Río Grande Municipio,Puerto Rico,"45,648","52,356","54,319","47,889",-11.80%,-9.33%,4.68%
72121,Sabana Grande Municipi,Puerto Rico,"22,843","25,902","25,361","21,741",-14.30%,-19.14%,-5.07%
72123,Salinas Municipio,Puerto Rico,"28,335","31,110","31,078","27,083",-12.90%,-14.87%,-4.62%
72125,San Germán Municipio,Puerto Rico,"34,962","37,101","35,691","30,229",-15.30%,-22.73%,-15.66%
72127,San Juan Municipio,Puerto Rico,"437,745","435,072","395,479","320,967",-18.80%,-35.55%,-36.38%
72129,San Lorenzo Municipio,Puerto Rico,"35,163","40,988","41,036","35,900",-12.50%,-14.17%,2.05%
72131,San Sebastián Municipi,Puerto Rico,"38,799","44,166","42,430","35,652",-16.00%,-23.88%,-8.83%
72133,Santa Isabel Municipio,Puerto Rico,"19,318","21,665","23,274","21,037",-9.60%,-2.99%,8.17%
72135,Toa Alta Municipio,Puerto Rico,"44,101","64,339","74,070","71,094",-4.00%,9.50%,37.97%
72137,Toa Baja Municipio,Puerto Rico,"89,454","93,570","89,616","74,623",-16.70%,-25.39%,-19.87%
72139,Trujillo Alto Municipi,Puerto Rico,"61,120","75,774","74,860","63,746",-14.80%,-18.87%,4.12%
72141,Utuado Municipio,Puerto Rico,"34,980","35,344","33,149","27,545",-16.90%,-28.31%,-26.99%
72143,Vega Alta Municipio,Puerto Rico,"34,559","37,915","39,951","35,806",-10.40%,-5.89%,3.48%
72145,Vega Baja Municipio,Puerto Rico,"55,997","61,916","59,662","50,185",-15.90%,-23.38%,-11.58%
72147,Vieques Municipio,Puerto Rico,"8,602","9,106","9,301","8,364",-10.10%,-8.87%,-2.85%
72149,Villalba Municipio,Puerto Rico,"23,559","27,910","26,073","21,476",-17.60%,-29.96%,-9.70%
72151,Yabucoa Municipio,Puerto Rico,"36,483","39,121","37,941","32,158",-15.20%,-21.65%,-13.45%
72153,Yauco Municipio,Puerto Rico,"42,058","46,398","41,947","33,860",-19.30%,-37.03%,-24.21%
56001,Albany County,Wyoming,"30,797","32,029","36,299","38,601",6.30%,17.03%,20.22%
56003,Big Horn County,Wyoming,"10,525","11,442","11,669","11,881",1.80%,3.69%,11.41%
56005,Campbell County,Wyoming,"29,370","33,705","46,133","46,140",0.00%,26.95%,36.35%
56007,Carbon County,Wyoming,"16,659","15,626","15,884","14,971",-5.70%,-4.38%,-11.28%
56009,Converse County,Wyoming,"11,128","12,046","13,833","13,640",-1.40%,11.69%,18.42%
56011,Crook County,Wyoming,"5,294","5,886","7,083","7,450",5.20%,20.99%,28.94%
56013,Fremont County,Wyoming,"33,662","35,805","40,123","39,531",-1.50%,9.43%,14.85%
56015,Goshen County,Wyoming,"12,373","12,537","13,247","13,376",1.00%,6.27%,7.50%
56017,Hot Springs County,Wyoming,"4,809","4,877","4,812","4,555",-5.30%,-7.07%,-5.58%
56019,Johnson County,Wyoming,"6,145","7,084","8,569","8,460",-1.30%,16.26%,27.36%
56021,Laramie County,Wyoming,"73,142","81,617","91,885","98,976",7.70%,17.54%,26.10%
56023,Lincoln County,Wyoming,"12,625","14,568","18,106","19,434",7.30%,25.04%,35.04%
56025,Natrona County,Wyoming,"61,226","66,541","75,448","79,115",4.90%,15.89%,22.61%
56027,Niobrara County,Wyoming,"2,499","2,410","2,484","2,388",-3.90%,-0.92%,-4.65%
56029,Park County,Wyoming,"23,178","25,788","28,207","29,324",4.00%,12.06%,20.96%
56031,Platte County,Wyoming,"8,145","8,792","8,667","8,566",-1.20%,-2.64%,4.91%
56033,Sheridan County,Wyoming,"23,562","26,563","29,119","30,233",3.80%,12.14%,22.07%
56035,Sublette County,Wyoming,"4,843","5,913","10,244","9,813",-4.20%,39.74%,50.65%
56037,Sweetwater County,Wyoming,"38,823","37,620","43,806","43,051",-1.70%,12.62%,9.82%
56039,Teton County,Wyoming,"11,173","18,257","21,298","23,081",8.40%,20.90%,51.59%
56041,Uinta County,Wyoming,"18,705","19,745","21,121","20,299",-3.90%,2.73%,7.85%
56043,Washakie County,Wyoming,"8,388","8,292","8,528","7,885",-7.50%,-5.16%,-6.38%
56045,Weston County,Wyoming,"6,518","6,643","7,208","6,967",-3.30%,4.65%,6.44%
55001,Adams County,Wisconsin,"15,682","19,940","20,871","20,348",-2.50%,2.01%,22.93%
55003,Ashland County,Wisconsin,"16,307","16,845","16,157","15,600",-3.40%,-7.98%,-4.53%
55005,Barron County,Wisconsin,"40,750","44,961","45,867","45,164",-1.50%,0.45%,9.77%
55007,Bayfield County,Wisconsin,"14,008","15,027","15,013","15,042",0.20%,0.10%,6.87%
55009,Brown County,Wisconsin,"194,594","226,633","248,007","263,378",6.20%,13.95%,26.12%
55011,Buffalo County,Wisconsin,"13,584","13,797","13,587","13,125",-3.40%,-5.12%,-3.50%
55013,Burnett County,Wisconsin,"13,084","15,650","15,458","15,392",-0.40%,-1.68%,14.99%
55015,Calumet County,Wisconsin,"34,291","40,683","48,973","50,159",2.40%,18.89%,31.64%
55017,Chippewa County,Wisconsin,"52,360","55,217","62,506","64,135",2.60%,13.91%,18.36%
55019,Clark County,Wisconsin,"31,647","33,548","34,691","34,709",0.10%,3.34%,8.82%
55021,Columbia County,Wisconsin,"45,088","52,510","56,849","57,358",0.90%,8.45%,21.39%
55023,Crawford County,Wisconsin,"15,940","17,241","16,644","16,291",-2.10%,-5.83%,2.15%
55025,Dane County,Wisconsin,"367,085","426,475","488,067","542,364",11.10%,21.37%,32.32%
55027,Dodge County,Wisconsin,"76,559","85,851","88,759","87,847",-1.00%,2.27%,12.85%
55029,Door County,Wisconsin,"25,690","27,957","27,785","27,610",-0.60%,-1.26%,6.95%
55031,Douglas County,Wisconsin,"41,758","43,288","44,159","43,208",-2.20%,-0.19%,3.36%
55033,Dunn County,Wisconsin,"35,909","39,853","43,865","45,131",2.90%,11.69%,20.43%
55035,Eau Claire County,Wisconsin,"85,183","93,128","98,879","104,534",5.70%,10.91%,18.51%
55037,Florence County,Wisconsin,"4,590","5,079","4,423","4,321",-2.30%,-17.54%,-6.23%
55039,Fond du Lac County,Wisconsin,"90,083","97,284","101,627","103,066",1.40%,5.61%,12.60%
55041,Forest County,Wisconsin,"8,776","10,027","9,304","8,991",-3.40%,-11.52%,2.39%
55043,Grant County,Wisconsin,"49,266","49,590","51,205","51,554",0.70%,3.81%,4.44%
55045,Green County,Wisconsin,"30,339","33,678","36,842","36,929",0.20%,8.80%,17.85%
55047,Green Lake County,Wisconsin,"18,651","19,115","19,051","18,918",-0.70%,-1.04%,1.41%
55049,Iowa County,Wisconsin,"20,150","22,790","23,691","23,771",0.30%,4.13%,15.23%
55051,Iron County,Wisconsin,"6,153","6,863","5,916","5,676",-4.10%,-20.91%,-8.40%
55053,Jackson County,Wisconsin,"16,588","19,091","20,441","20,478",0.20%,6.77%,19.00%
55055,Jefferson County,Wisconsin,"67,783","75,855","83,683","85,129",1.70%,10.89%,20.38%
55057,Juneau County,Wisconsin,"21,650","24,323","26,665","26,617",-0.20%,8.62%,18.66%
55059,Kenosha County,Wisconsin,"128,181","149,584","166,424","169,290",1.70%,11.64%,24.28%
55061,Kewaunee County,Wisconsin,"18,878","20,199","20,574","20,383",-0.90%,0.90%,7.38%
55063,La Crosse County,Wisconsin,"97,904","107,156","114,638","118,230",3.10%,9.37%,17.19%
55065,Lafayette County,Wisconsin,"16,074","16,149","16,836","16,665",-1.00%,3.10%,3.55%
55067,Langlade County,Wisconsin,"19,505","20,743","19,977","19,268",-3.50%,-7.66%,-1.23%
55069,Lincoln County,Wisconsin,"26,993","29,625","28,743","27,689",-3.70%,-6.99%,2.51%
55071,Manitowoc County,Wisconsin,"80,421","82,907","81,442","79,074",-2.90%,-4.85%,-1.70%
55073,Marathon County,Wisconsin,"115,400","125,908","134,061","135,428",1.00%,7.03%,14.79%
55075,Marinette County,Wisconsin,"40,548","43,392","41,749","40,434",-3.10%,-7.32%,-0.28%
55077,Marquette County,Wisconsin,"12,321","14,539","15,404","15,434",0.20%,5.80%,20.17%
55078,Menominee County,Wisconsin,"4,075","4,554","4,232","4,658",10.10%,2.23%,12.52%
55079,Milwaukee County,Wisconsin,"959,212","940,127","947,736","948,201",0.00%,0.85%,-1.16%
55081,Monroe County,Wisconsin,"36,633","40,885","44,675","46,051",3.10%,11.22%,20.45%
55083,Oconto County,Wisconsin,"30,226","35,657","37,660","37,830",0.50%,5.74%,20.10%
55085,Oneida County,Wisconsin,"31,679","36,736","36,010","35,470",-1.50%,-3.57%,10.69%
55087,Outagamie County,Wisconsin,"140,510","161,090","176,691","187,365",6.00%,14.02%,25.01%
55089,Ozaukee County,Wisconsin,"72,894","82,322","86,395","89,147",3.20%,7.66%,18.23%
55091,Pepin County,Wisconsin,"7,107","7,314","7,469","7,289",-2.40%,-0.34%,2.50%
55093,Pierce County,Wisconsin,"32,765","36,726","41,019","42,555",3.70%,13.70%,23.01%
55095,Polk County,Wisconsin,"34,773","41,322","44,202","43,598",-1.40%,5.22%,20.24%
55097,Portage County,Wisconsin,"61,405","67,181","70,021","70,942",1.30%,5.30%,13.44%
55099,Price County,Wisconsin,"15,600","15,819","14,159","13,397",-5.40%,-18.08%,-16.44%
55101,Racine County,Wisconsin,"175,034","188,849","195,428","196,584",0.60%,3.93%,10.96%
55103,Richland County,Wisconsin,"17,521","17,926","18,021","17,377",-3.60%,-3.16%,-0.83%
55105,Rock County,Wisconsin,"139,510","152,315","160,335","163,129",1.70%,6.63%,14.48%
55107,Rusk County,Wisconsin,"15,079","15,350","14,754","14,147",-4.10%,-8.50%,-6.59%
55109,St. Croix County,Wisconsin,"50,251","63,155","84,347","89,694",6.30%,29.59%,43.98%
55111,Sauk County,Wisconsin,"46,975","55,187","61,965","64,249",3.70%,14.10%,26.89%
55113,Sawyer County,Wisconsin,"14,181","16,221","16,547","16,489",-0.40%,1.63%,14.00%
55115,Shawano County,Wisconsin,"37,157","40,676","41,955","40,796",-2.80%,0.29%,8.92%
55117,Sheboygan County,Wisconsin,"103,877","112,663","115,510","115,456",0.00%,2.42%,10.03%
55119,Taylor County,Wisconsin,"18,901","19,682","20,690","20,412",-1.30%,3.58%,7.40%
55121,Trempealeau County,Wisconsin,"25,263","27,002","28,816","29,442",2.20%,8.29%,14.19%
55123,Vernon County,Wisconsin,"25,617","28,058","29,771","30,785",3.40%,8.86%,16.79%
55125,Vilas County,Wisconsin,"17,707","21,055","21,430","21,938",2.40%,4.02%,19.29%
55127,Walworth County,Wisconsin,"75,000","91,895","102,228","103,718",1.50%,11.40%,27.69%
55129,Washburn County,Wisconsin,"13,772","16,007","15,909","15,878",-0.20%,-0.81%,13.26%
55131,Washington County,Wisconsin,"95,328","117,529","131,885","135,693",2.90%,13.39%,29.75%
55133,Waukesha County,Wisconsin,"304,715","360,810","389,938","403,072",3.40%,10.48%,24.40%
55135,Waupaca County,Wisconsin,"46,104","51,844","52,410","51,128",-2.40%,-1.40%,9.83%
55137,Waushara County,Wisconsin,"19,385","23,047","24,496","24,263",-1.00%,5.01%,20.10%
55139,Winnebago County,Wisconsin,"140,320","156,752","166,996","171,020",2.40%,8.34%,17.95%
55141,Wood County,Wisconsin,"73,605","75,500","74,749","73,055",-2.30%,-3.35%,-0.75%
54001,Barbour County,West Virginia,"15,699","15,555","16,589","16,535",-0.30%,5.93%,5.06%
54003,Berkeley County,West Virginia,"59,253","75,899","104,172","117,123",12.40%,35.20%,49.41%
54005,Boone County,West Virginia,"25,870","25,548","24,625","21,951",-10.90%,-16.39%,-17.85%
54007,Braxton County,West Virginia,"12,998","14,697","14,519","14,089",-3.00%,-4.32%,7.74%
54009,Brooke County,West Virginia,"26,992","25,427","24,067","22,203",-7.70%,-14.52%,-21.57%
54011,Cabell County,West Virginia,"96,827","96,783","96,297","93,224",-3.20%,-3.82%,-3.86%
54013,Calhoun County,West Virginia,"7,885","7,587","7,627","7,254",-4.90%,-4.59%,-8.70%
54015,Clay County,West Virginia,"9,983","10,336","9,384","8,632",-8.00%,-19.74%,-15.65%
54017,Doddridge County,West Virginia,"6,994","7,366","8,201","8,406",2.50%,12.37%,16.80%
54019,Fayette County,West Virginia,"47,952","47,591","46,049","43,018",-6.60%,-10.63%,-11.47%
54021,Gilmer County,West Virginia,"7,669","7,155","8,695","8,026",-7.70%,10.85%,4.45%
54023,Grant County,West Virginia,"10,428","11,292","11,942","11,626",-2.60%,2.87%,10.30%
54025,Greenbrier County,West Virginia,"34,693","34,448","35,483","34,786",-2.00%,0.97%,0.27%
54027,Hampshire County,West Virginia,"16,498","20,171","23,969","23,347",-2.60%,13.60%,29.34%
54029,Hancock County,West Virginia,"35,233","32,682","30,672","29,094",-5.10%,-12.33%,-21.10%
54031,Hardy County,West Virginia,"10,977","12,647","14,025","13,775",-1.80%,8.19%,20.31%
54033,Harrison County,West Virginia,"69,371","68,635","69,108","67,554",-2.20%,-1.60%,-2.69%
54035,Jackson County,West Virginia,"25,938","28,002","29,214","28,706",-1.70%,2.45%,9.64%
54037,Jefferson County,West Virginia,"35,926","42,246","53,488","56,811",6.20%,25.64%,36.76%
54039,Kanawha County,West Virginia,"207,619","200,111","193,051","180,454",-6.50%,-10.89%,-15.05%
54041,Lewis County,West Virginia,"17,223","16,914","16,372","16,024",-2.10%,-5.55%,-7.48%
54043,Lincoln County,West Virginia,"21,382","22,107","21,709","20,599",-5.10%,-7.32%,-3.80%
54045,Logan County,West Virginia,"43,032","37,705","36,754","32,607",-11.30%,-15.63%,-31.97%
54047,McDowell County,West Virginia,"35,233","27,331","22,111","18,223",-17.60%,-49.98%,-93.34%
54049,Marion County,West Virginia,"57,249","56,603","56,418","56,097",-0.60%,-0.90%,-2.05%
54051,Marshall County,West Virginia,"37,356","35,529","33,107","30,785",-7.00%,-15.41%,-21.34%
54053,Mason County,West Virginia,"25,178","25,952","27,348","26,718",-2.30%,2.87%,5.76%
54055,Mercer County,West Virginia,"64,980","62,978","62,265","59,131",-5.00%,-6.51%,-9.89%
54057,Mineral County,West Virginia,"26,697","27,086","28,198","26,940",-4.50%,-0.54%,0.90%
54059,Mingo County,West Virginia,"33,739","28,247","26,834","23,785",-11.40%,-18.76%,-41.85%
54061,Monongalia County,West Virginia,"75,509","81,886","96,190","106,420",10.60%,23.05%,29.05%
54063,Monroe County,West Virginia,"12,406","13,184","13,498","13,280",-1.60%,0.72%,6.58%
